"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Arpp19"	2.70870879926883e-10	0.299892818225214	0.256	0.195	6.88093296278261e-06	"E3Rorb"	"Arpp19"
"Sel1l3"	3.54170621990271e-10	0.286782180080417	0.266	0.205	8.99699631041886e-06	"E3Rorb"	"Sel1l3"
"Tmem59l"	5.16241002360339e-10	0.30546973918394	0.164	0.111	1.31140701829597e-05	"E3Rorb"	"Tmem59l"
"Phf24"	5.83720732183125e-10	0.257701368783893	0.396	0.338	1.48282577596479e-05	"E3Rorb"	"Phf24"
"Egr1"	1.13257429562924e-09	0.336778640514084	0.162	0.111	2.87707848318695e-05	"E3Rorb"	"Egr1"
"Abcc8"	1.16990523036116e-09	0.322266399634349	0.124	0.079	2.97191025668647e-05	"E3Rorb"	"Abcc8"
"Nap1l5"	1.95710431773755e-09	0.26611269663948	0.164	0.112	4.97163209834871e-05	"E3Rorb"	"Nap1l5"
"Fmnl1"	2.38948351316495e-09	0.284454519841232	0.13	0.084	6.07000496849293e-05	"E3Rorb"	"Fmnl1"
"Nsf"	3.70144981597514e-09	0.262790818424671	0.381	0.327	9.40279296752165e-05	"E3Rorb"	"Nsf"
"Ppm1l"	3.89516148573832e-09	0.27308396276748	0.32	0.263	9.89487872222107e-05	"E3Rorb"	"Ppm1l"
"Ngef"	5.70289257915717e-09	0.284497342899684	0.239	0.183	0.00014487058018833	"E3Rorb"	"Ngef"
"Camkk2"	1.02545714723794e-08	0.292954300363598	0.254	0.2	0.000260496879112853	"E3Rorb"	"Camkk2"
"Frrs1l"	1.05186625292139e-08	0.300544731733395	0.233	0.18	0.00026720558422962	"E3Rorb"	"Frrs1l"
"Asph"	1.62953534852845e-08	0.284715265909174	0.152	0.105	0.000413950864586682	"E3Rorb"	"Asph"
"Scube1"	1.66920922294431e-08	0.325305891889631	0.202	0.15	0.000424029218904543	"E3Rorb"	"Scube1"
"Gm42418"	2.90769953163819e-08	0.283979464325322	0.17	0.122	0.00073864291202205	"E3Rorb"	"Gm42418"
"Plxnd1"	2.98292855144005e-08	0.252574508446955	0.114	0.073	0.000757753339922315	"E3Rorb"	"Plxnd1"
"Snca"	3.525212050111e-08	0.323268960557245	0.231	0.181	0.000895509617089697	"E3Rorb"	"Snca"
"Lrrk2"	4.32572826427909e-08	0.257597681956264	0.193	0.144	0.00109886475097482	"E3Rorb"	"Lrrk2"
"Arhgap20"	6.68324667670116e-08	0.259253330060406	0.288	0.237	0.0016977451532824	"E3Rorb"	"Arhgap20"
"Car7"	9.09737203748715e-08	0.250015627407062	0.172	0.125	0.00231100541868286	"E3Rorb"	"Car7"
"Dock7"	2.42853382874135e-07	0.25763182586256	0.324	0.275	0.00616920448515165	"E3Rorb"	"Dock7"
"Slc8a3"	4.41602803587274e-07	0.251310129073366	0.13	0.091	0.0112180360195275	"E3Rorb"	"Slc8a3"
"Celf1"	4.77993874319329e-07	0.255117012963693	0.324	0.281	0.0121424783893339	"E3Rorb"	"Celf1"
"Sun1"	7.80603492981319e-07	0.259109293035604	0.21	0.164	0.0198296705322044	"E3Rorb"	"Sun1"
"Scg5"	1.36212251782361e-06	0.266682579209341	0.297	0.255	0.0346019983202733	"E3Rorb"	"Scg5"
"Sepw1"	1.1939119184799e-05	0.257587940767282	0.135	0.101	0.303289444651449	"E3Rorb"	"Sepw1"
"Arhgap15"	2.33037425771662e-05	0.257768191320437	0.187	0.15	0.591984972687752	"E3Rorb"	"Arhgap15"
"Lingo1"	5.76413170500485e-05	0.25163563739207	0.146	0.114	1	"E3Rorb"	"Lingo1"
"Tox"	1.55540139771696e-129	1.16566600417664	0.696	0.179	3.95118617062038e-125	"E5Parm1"	"Tox"
